date,id,text,bot_non_bot
Fri May 18 19:04:34 +0000 2018,997553548073324544,Fox News Cranks Up The Spin Machine To Protect Israel &amp; Victim Blame: https://t.co/4lJjspB6KB via @YouTube,1
date,id,text,bot_non_bot
Fri May 18 01:28:11 +0000 2018,997287700184092672,"RT @Snowden: Note: Gina Haspel participated in a torture program that involved beating an (innocent) pregnant woman's stomach, anally rapin…",1
date,id,text,bot_non_bot
Fri May 18 00:35:02 +0000 2018,997274327073472512,RT @kenklippenstein: https://t.co/YAkW7Pu4L0,1
date,id,text,bot_non_bot
Fri May 18 00:34:33 +0000 2018,997274203899379712,@pixelatedboat  https://t.co/Hzi9sYGP29,1
date,id,text,bot_non_bot
Fri May 18 00:14:39 +0000 2018,997269195204243457,"RT @MaxBlumenthal: The bad faith of Thomas Friedman: Back in 2011, he urged the flower of Palestinian youth to throw themselves into protes…",1
date,id,text,bot_non_bot
Thu May 17 23:44:31 +0000 2018,997261615027240965,Hahahaha we're bombing 8 countries right now btw https://t.co/Wa9vHnAJ8U,1
date,id,text,bot_non_bot
Thu May 17 23:43:06 +0000 2018,997261254724149256,US Senate Candidate Alison Hartson Calls Out Israel's 'Illegal Occupation' &amp; 'Apartheid': https://t.co/BFWlk18y9L via @YouTube,1
date,id,text,bot_non_bot
Thu May 17 23:33:53 +0000 2018,997258936377069568,"RT @BarstoolBigCat: This feels oddly specific, hypothetically of course  https://t.co/HBMeNohkey",1
date,id,text,bot_non_bot
Thu May 17 23:26:47 +0000 2018,997257148550688768,"Americans: ok what we really want is Dems to resist Trump but also...
- end the wars
- raise the min wage
- impleme… https://t.co/ZeQ8Nu73Hn",1
date,id,text,bot_non_bot
Thu May 17 23:10:14 +0000 2018,997252983694942208,"RT @RoKhanna: Six Democrats just voted with Republicans to confirm Gina Haspel as CIA director, despite her record of supporting torture an…",1
date,id,text,bot_non_bot
Thu May 17 22:53:32 +0000 2018,997248783485288448,@adamjohnsonNYC blocked,1
date,id,text,bot_non_bot
Thu May 17 22:46:27 +0000 2018,997247001971453956,RT @PaulGottinger: what a country https://t.co/N9e0NeZ2Vt,1
date,id,text,bot_non_bot
Thu May 17 22:05:44 +0000 2018,997236754909421568,MSNBC Guest Chastises Them For Talking 'Horse Race' Politics While 'Babies Die': https://t.co/16OLvWmycj via @YouTube,1
date,id,text,bot_non_bot
Thu May 17 22:01:53 +0000 2018,997235786687934464,"RT @DrJillStein: Here are some recent Trump wins enabled by Senate Democrats while they distracted people with ""Russiagate"":
-Made a tortur…",1
date,id,text,bot_non_bot
Thu May 17 21:55:46 +0000 2018,997234243553153024,You just voted for a war criminal torturer TODAY so do me a favor and visit my new website https://t.co/6xbvtm1hNN https://t.co/pXvnq490n8,1
date,id,text,bot_non_bot
Thu May 17 21:51:37 +0000 2018,997233200652062720,"The 'I LOVE JESUS' guy is mindlessly supporting a war criminal torturer, imagine my shock! Who would Jesus torture,… https://t.co/iRPY5eEJzy",1
date,id,text,bot_non_bot
Thu May 17 21:48:13 +0000 2018,997232343504039938,Note to all the idiot elites in DC: war crimes don't magically become non war crimes when committed by your buddies… https://t.co/ngXRo93vml,1
date,id,text,bot_non_bot
Thu May 17 21:46:28 +0000 2018,997231903223762945,Imagine voting for a war criminal torturer and not thinking you're a totally immoral and vapid cretin?,1
date,id,text,bot_non_bot
Thu May 17 21:34:53 +0000 2018,997228989801533441,RT @imraansiddiqi: This is the most white supremacist headline ever. https://t.co/42iCvEVoNn,1
date,id,text,bot_non_bot
Thu May 17 21:27:51 +0000 2018,997227218060398592,"RT @RobertMackey: A perfect encapsulation of Trump’s presidency: he has no idea of what the Libya WMD policy was but, hearing “Libya,” uses…",1
date,id,text,bot_non_bot
Thu May 17 21:25:33 +0000 2018,997226642350198784,freedom and democracy and human rights and such https://t.co/eY09f2USAd,1
date,id,text,bot_non_bot
Thu May 17 21:17:32 +0000 2018,997224623602372609,RT @WeGoHardOnEarth: @KyleKulinski @MarkWarner @HeidiHeitkamp @SenBillNelson @JoeManchinWV @SenDonnelly @SenatorShaheen  https://t.co/SWZAI…,1
date,id,text,bot_non_bot
Thu May 17 21:16:32 +0000 2018,997224372493520896,Just your regular reminder that the worst aspects of the Trump administration are fully supported by establishment… https://t.co/GgvNv0VI1L,1
date,id,text,bot_non_bot
Thu May 17 21:08:20 +0000 2018,997222307516092418,"So @MarkWarner @HeidiHeitkamp @SenBillNelson @JoeManchinWV @SenDonnelly @SenatorShaheen, you like voting for war criminal torturers?",1
date,id,text,bot_non_bot
Thu May 17 21:03:50 +0000 2018,997221176815575041,BREAKING: 6 Dems Join GOP To Approve Wár Crímínal As CIA Head: https://t.co/TDqsPsoe83 via @YouTube,1
date,id,text,bot_non_bot
Thu May 17 20:40:41 +0000 2018,997215350134657025,https://t.co/ijhCyU9NO3,1
date,id,text,bot_non_bot
Thu May 17 20:21:47 +0000 2018,997210595358371843,"RT @jeremyscahill: Let’s be clear: if those Democrats who voted for Haspel had voted against her, she would not have been confirmed.",1
date,id,text,bot_non_bot
Thu May 17 20:02:04 +0000 2018,997205630887890944,Senate Votes To BRING BACK NET NEUTRALITY: https://t.co/CHJp1LFoln via @YouTube,1
date,id,text,bot_non_bot
Thu May 17 19:57:02 +0000 2018,997204366720413696,RT @jeremyscahill: This was never just about Gina Haspel. This is about a nation that claims constantly to be exceptional and morally super…,1
date,id,text,bot_non_bot
Thu May 17 19:54:06 +0000 2018,997203626484527105,"RT @KFILE: One lawmaker said temperatures were not rising, another brought up global cooling, and Mo Brooks suggested land erosion caused r…",1
date,id,text,bot_non_bot
Thu May 17 19:38:13 +0000 2018,997199631015661568,RT @thehill: GoFundMe page raises money to send Mariachi band to troll man who threatened to call ICE on Spanish-speakers https://t.co/EpHH…,1
date,id,text,bot_non_bot
Thu May 17 19:31:00 +0000 2018,997197815301464065,https://t.co/XMXrY6UU79,1
date,id,text,bot_non_bot
Thu May 17 19:14:49 +0000 2018,997193742858715136,Populist Left Has Strong Showing In Elections: https://t.co/OR9N81V8QK via @YouTube,1
date,id,text,bot_non_bot
Thu May 17 18:49:01 +0000 2018,997187248985657344,RT @LukewSavage: Our species is embarrassing https://t.co/fauvvtGoV4,1
date,id,text,bot_non_bot
Thu May 17 15:00:52 +0000 2018,997129830901612544,"We're on live now!
https://t.co/EVHrVFpbYp",1
date,id,text,bot_non_bot
Thu May 17 14:18:09 +0000 2018,997119082590887936,I hate everything https://t.co/JCAc0hdU14,1
date,id,text,bot_non_bot
Wed May 16 23:44:16 +0000 2018,996899163483856896,RT @johncusack: The culmination - https://t.co/Rhd88smFLx,1
date,id,text,bot_non_bot
Wed May 16 23:01:52 +0000 2018,996888494147559424,Black Activist Arrested Over Anti-Cop Facebook Post: https://t.co/bGzrZC1qJk via @YouTube,1
date,id,text,bot_non_bot
Wed May 16 22:43:35 +0000 2018,996883891385503744,So happy we keep cutting taxes for the mega-rich https://t.co/LRjwVO1QHt,1
date,id,text,bot_non_bot
Wed May 16 22:02:41 +0000 2018,996873598286680065,RT @HartsonForCA: California's @SenFeinstein and @kdeleon shouldn't need to sleep with porn stars in order for us to pay attention to the f…,1
date,id,text,bot_non_bot
Wed May 16 22:01:19 +0000 2018,996873252927672320,Glenn Greenwald: Is Trump An Aberration?: https://t.co/kd33bjgnnD via @YouTube,1
date,id,text,bot_non_bot
Wed May 16 20:57:27 +0000 2018,996857182703509504,https://t.co/xZ2ETELFTY,1
date,id,text,bot_non_bot
Wed May 16 20:41:34 +0000 2018,996853184470700032,"⚡️ “Judge exonerates man who spent 17 years in jail on a wrongful conviction”

https://t.co/DGDdUmZiPa",1
date,id,text,bot_non_bot
Wed May 16 20:37:30 +0000 2018,996852162880856065,We're watching you @HouseGOP https://t.co/ap8wmJ8MOA,1
date,id,text,bot_non_bot
Wed May 16 20:16:38 +0000 2018,996846911809302529,"Computer, show me the least helpful thing Dems can do for 2018 https://t.co/v774AoOuDD",1
date,id,text,bot_non_bot
Wed May 16 19:09:05 +0000 2018,996829909883465728,RT @commondreams: BREAKING: Senate files motion to proceed to final #NetNeutrality vote. There's less than two hours to make your voice hea…,1
date,id,text,bot_non_bot
Wed May 16 19:05:39 +0000 2018,996829044837580800,"RT @amy4thepeople: It's time to finally settle this debate!

What did you hear? 😉

#yannyvslaurel #yannyorlaurel #MedicareForAll #NV04",1
date,id,text,bot_non_bot
Wed May 16 19:01:40 +0000 2018,996828042130546689,Ralph Nader: “Democratic Party Stop Scapegoating &amp; Look In The Mirror!”: https://t.co/zLHqa88Z5M via @YouTube,1
date,id,text,bot_non_bot
Wed May 16 18:44:54 +0000 2018,996823823361236992,"Why you hear “Laurel” or “Yanny” in that viral audio clip, explained https://t.co/C6vBW5DDM5 via @voxdotcom",1
date,id,text,bot_non_bot
Wed May 16 18:40:02 +0000 2018,996822597986811904,Holy shit https://t.co/EqxBGW1FcC,1
date,id,text,bot_non_bot
Wed May 16 18:29:48 +0000 2018,996820026433916928,"I don’t follow, @wallerABC7, are you suggesting Dems *should* focus more on porn star scandals than substantive iss… https://t.co/N35zW80fjX",1
date,id,text,bot_non_bot
Wed May 16 18:07:57 +0000 2018,996814527181328384,"RT @NatCounterPunch: Pharma has two lobbyists for every member of Congress. It spends more on lobbying than tobacco, oil and defense contra…",1
date,id,text,bot_non_bot
Wed May 16 17:59:13 +0000 2018,996812327122030598,"I want a Democratic backlash against Trump &amp; the GOP *and Democratic policies*, I don't want a Democratic backlash… https://t.co/0ru9BaIfgG",1
date,id,text,bot_non_bot
Wed May 16 17:57:19 +0000 2018,996811849172766722,"In 2018 we can have mixed results, or a Dem backlash against Trump and the GOP. What I'm afraid of is that there *i… https://t.co/RtHwvdzqca",1
date,id,text,bot_non_bot
Wed May 16 17:55:21 +0000 2018,996811355389906944,"I can't stress this enough: the focus of Democrats and mainstream media on Stormy Daniels, high turnover in Trump's… https://t.co/tgyxVufA83",1
date,id,text,bot_non_bot
Wed May 16 17:53:54 +0000 2018,996810989063561216,"I can't be the only person fed up with the MSM &amp; Dem focus on porn star bullshit over climate change, income inequa… https://t.co/oys6clLiZI",1
date,id,text,bot_non_bot
Wed May 16 17:44:44 +0000 2018,996808683240779778,'Israel has a right to defend itself' is something you hear often. Do Palestinians have a right to defend themselve… https://t.co/qchY3VsrZD,1
date,id,text,bot_non_bot
Wed May 16 17:33:55 +0000 2018,996805962693595136,"If Hamas has this devious plan to make Israel massacre Palestinian civilians, then why does Israel always walk into… https://t.co/Y1mjdRAMdr",1
date,id,text,bot_non_bot
Wed May 16 17:32:46 +0000 2018,996805672577765377,I have a thick skin for stupid political arguments but 'you're to blame for making me kill your civilians' is by fa… https://t.co/JBjJWtmLKW,1
date,id,text,bot_non_bot
Wed May 16 17:28:17 +0000 2018,996804543882067969,RT @imraansiddiqi: Let’s not forget the real victim here: The Israelis that didn’t die. https://t.co/pQSfC6ewKY,1
date,id,text,bot_non_bot
Wed May 16 16:49:27 +0000 2018,996794769060843521,Neoliberalism is a brain disease https://t.co/Y8uHu0bRyc,1
date,id,text,bot_non_bot
Wed May 16 16:48:48 +0000 2018,996794604988100608,"RT @pixelatedboat: *sniper shoots a child 200 metres away* I had to do it, he could’ve flown a kite or tied a rope to a fence https://t.co/…",1
date,id,text,bot_non_bot
Wed May 16 16:20:49 +0000 2018,996787564433625089,RT @jimmy_dore: #TheResistance https://t.co/OWlVHpTl0T,1
date,id,text,bot_non_bot
Wed May 16 16:19:53 +0000 2018,996787328176844801,RT @SenSanders: We need to stop imprisoning people for smoking marijuana and start prosecuting the crooks on Wall Street whose greed and il…,1
date,id,text,bot_non_bot
Wed May 16 16:19:50 +0000 2018,996787318404022273,"RT @cenkuygur: Conventional wisdom in Democratic Party is that a more ""centrist"" candidate has better chance of winning in red &amp; purple sta…",1
date,id,text,bot_non_bot
Wed May 16 03:38:56 +0000 2018,996595829224992768,@BenMank77 @ShaunKing Haha. It changes every time I go back and listen now. But in the clip I sent you I reliably hear both.,1
date,id,text,bot_non_bot
Wed May 16 03:32:36 +0000 2018,996594235284643840,@imraansiddiqi Lol. When this dude adjusts the base I can here both. https://t.co/TuJWsRayDN,1
date,id,text,bot_non_bot
Wed May 16 03:25:35 +0000 2018,996592471281979399,@imraansiddiqi yeah but.... yanny or laurel,1
date,id,text,bot_non_bot
Wed May 16 03:08:53 +0000 2018,996588266978758657,"@BenMank77 @ShaunKing Ben, the same thing happened to me. The difference has to do with the bass levels. People app… https://t.co/riPodCJEKi",1
date,id,text,bot_non_bot
Wed May 16 01:34:46 +0000 2018,996564582364827649,RT @narcokitty404: https://t.co/BjtqjU4sXk,1
date,id,text,bot_non_bot
Wed May 16 00:32:06 +0000 2018,996548813597835264,RT @LinahAlsaafin: The Onion is on a roll https://t.co/B6ci8loedZ,1
date,id,text,bot_non_bot
Tue May 15 23:53:51 +0000 2018,996539188014206976,"Kyle Talks To Amy Vilela, Crusader For Medicare For All: https://t.co/2ANhKP14MX via @YouTube",1
date,id,text,bot_non_bot
Tue May 15 23:04:27 +0000 2018,996526754406727685,Jesse Ventura Calls For The Arrest Of Donald Trump: https://t.co/5Tx4H3DDTC via @YouTube,1
date,id,text,bot_non_bot
Tue May 15 22:53:12 +0000 2018,996523921464840192,RT @jeremyscahill: Here are the 5 Democratic senators (thus far) who have made clear they don't give a shit about accountability for tortur…,1
date,id,text,bot_non_bot
Tue May 15 22:05:19 +0000 2018,996511873855082502,RT @kenklippenstein: https://t.co/h3QDwDVz67,1
date,id,text,bot_non_bot
Tue May 15 22:01:46 +0000 2018,996510978828374017,Behold The Most Republican Campaign Ad Of All Time: https://t.co/gN8GHGF54Y via @YouTube,1
date,id,text,bot_non_bot
Tue May 15 21:01:26 +0000 2018,996495796483903488,Hillary Says 2x Obama Voters Didn't Support Her Because Of Fake News: https://t.co/ZFPkuiBDSW via @YouTube,1
date,id,text,bot_non_bot
Tue May 15 20:01:38 +0000 2018,996480747648245760,Is Ron Paul Ashamed Of His Son For Selling Out Libertarians?: https://t.co/WSTIfWGM5O via @YouTube,1
date,id,text,bot_non_bot
Tue May 15 19:27:32 +0000 2018,996472164420345857,"RT @TheOnion: IDF Soldier Recounts Harrowing, Heroic War Story Of Killing 8-Month-Old Child https://t.co/YBgEBji4Lo https://t.co/rZnnBrFnDP",1
date,id,text,bot_non_bot
Tue May 15 19:01:44 +0000 2018,996465672828973058,Trump's Face Will Feature On Israeli Coin: https://t.co/Q6ZTtupyTO via @YouTube,1
date,id,text,bot_non_bot
Tue May 15 14:11:22 +0000 2018,996392600553836546,RT @JordanUhl: https://t.co/JBmMmdafmS,1
date,id,text,bot_non_bot
Tue May 15 14:07:00 +0000 2018,996391499695837185,This was absolutely glorious. https://t.co/KlMl4EUQPb,1
date,id,text,bot_non_bot
Tue May 15 13:58:52 +0000 2018,996389453127143424,"RT @HumanistReport: Yes, because ""Faithwire"" is surely going to give us an objective and nuanced take on the matter, aren't they? I'm guess…",1
date,id,text,bot_non_bot
Tue May 15 13:55:08 +0000 2018,996388515180089344,RT @jvgraz: Life comes at you fast https://t.co/lNvtTMsSrc,1
date,id,text,bot_non_bot
Tue May 15 13:53:58 +0000 2018,996388222757371904,RT @HumanistReport: Nobody's advocating for the deaths of babies in the same way you overtly advocate for death with your incessant warmong…,1
date,id,text,bot_non_bot
Tue May 15 13:53:38 +0000 2018,996388138812624898,"RT @ggreenwald: If a foreign army came and built fences around our borders to block us from leaving, then bombed our airports to prevent us…",1
date,id,text,bot_non_bot
Tue May 15 13:53:30 +0000 2018,996388104406814720,symbolic of so much https://t.co/WaHIEwCR46,1
date,id,text,bot_non_bot
Tue May 15 02:20:39 +0000 2018,996213742928060416,RT @reaghanhunt: no u hang up first :) https://t.co/EvvyLNBUtL,1
date,id,text,bot_non_bot
Tue May 15 02:19:23 +0000 2018,996213422474891264,RT @WeWuzBoomers: https://t.co/Dfrt9EvwEg,1
date,id,text,bot_non_bot
Tue May 15 00:33:34 +0000 2018,996186794994667521,Bernie Rips The 'Mílítary Industrial Complex' &amp; Endless Wár: https://t.co/vjgbI41Kqj via @YouTube,1
date,id,text,bot_non_bot
Mon May 14 23:51:06 +0000 2018,996176107224338443,"RT @RaniaKhalek: Shooting over 50 Palestinians dead wasn’t enough, the Israelis are now bombing the Gaza ghetto. They’re testing their limi…",1
date,id,text,bot_non_bot
Mon May 14 23:32:59 +0000 2018,996171546040438785,Erratic Trump Admin Tries Iran-Style Deal With N Kórea: https://t.co/58dyiZhLE1 via @YouTube,1
date,id,text,bot_non_bot
