userid,user_key,created_at,created_str,retweet_count,retweeted,favorite_count,text,tweet_id,source,hashtags,expanded_urls,posted,mentions,retweeted_status_id,in_reply_to_status_id
2671070290,patriotblake,1484821335000,2017-01-19 10:22:15,,,,"RT @tassagency_en: Russia’s new active protection system to shield T-72, T-90 #tanks from US #TOW missiles https://t.co/ZfzlWDaIoy",822026375594962945,,"[""tanks""]",[],POSTED,[],,
2589353987,cassieweltch,1492784323000,2017-04-21 14:18:43,,,,Bernie Would've Wonderboy  @midnight #EarthDaySongs,855425568908562433,,"[""EarthDaySongs""]",[],POSTED,[],,
2533653547,evagreen69,1483431898000,2017-01-03 08:24:58,,,,"RT @Conservatexian: New post: ""Baggage handler found locked in hold of Charlotte-Washington flight"" https://t.co/qMTqxOqmJE",816198656051281920,,[],[],POSTED,[],,
2587100717,judelambertusa,1447554119000,2015-11-15 02:21:59,,,,RT @ArchieOlivers: #DEMNDEBATE #DemDebate Hillary would never end corruption!,665716342365036544,,"[""DemnDebate""]",[],POSTED,[],,
4508630900,thefoundingson,1473090586000,2016-09-05 15:49:46,0,false,0,And now I endorse Hillary Clinton to do the same https://t.co/phLfFlCwsy,772824051156779009,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],POSTED,[],,
3084360275,mil0blake,1444299146000,2015-10-08 10:12:26,,,,"RT @AllenWest: Bowe Bergdahl’s trial is finally here… and here’s why Obama hopes you WON""T notice
http://t.co/8RstovTAVr http://t.co/9S6EPJ…",652063998272253952,,[],[],POSTED,[],,
1671234620,hyddrox,1478559979000,2016-11-07 23:06:19,0,false,0,"RT @jbnv: My final thoughts on the election: Vote your conscience. If your conscience says to vote for Trump, vote for... https://t.co/eHgn…",795764348597702656,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",[],[],POSTED,"[""jbnv""]",795760184723460097,
1658420976,baobaeham,1491700622000,2017-04-09 01:17:02,,,,RT @BoogsMalone: Just set up my new Youtube again sub me https://t.co/7v8TVPGLRw,850880198606299136,,[],[],POSTED,[],,
1671234620,hyddrox,1486067738000,2017-02-02 20:35:38,,,,RT @CBSEveningNews: NEW: CIA Director Mike Pompeo announced that Gina Haspel to be the first female career CIA officer to be named Deputy D…,827254169174106113,,[],[],POSTED,[],,
,evewebster373,1424521730000,2015-02-21 12:28:50,,,,I hate how much I love you,569111502499811328,,[],[],POSTED,[],,
