date,id,text, bot_non_bot
Thu Apr 26 02:53:52 +0000 2018,989336731269959681,"Ronny Jackson, President Trump's nominee to lead the Dept. of Veterans Affairs, is in active discussions with senio… https://t.co/PJoPBjbP0e",1
Thu Apr 26 02:48:17 +0000 2018,989335326450704386,"Michael Cohen is claiming ""he can't answer the questions because the answers will incriminate him. This is a stagge… https://t.co/cPoXNuypcW",1
Thu Apr 26 02:30:14 +0000 2018,989330782245269504,"""I'm confident that the case is not going to be stayed. I think we're going to be able to proceed with discovery in… https://t.co/pIMOiY7tnu",1
Thu Apr 26 02:11:46 +0000 2018,989326135703072769,".@HardballChris: Mick Mulvaney is a ""swamp fox"" because he only had meetings with those who gave him campaign money… https://t.co/g93O57qllM",1
Thu Apr 26 01:54:47 +0000 2018,989321861359169541,RT @MaddowBlog: Among the scoops in Ronan Farrow's book: Where did Tillerson get that scripted language on China that China has been trying…,1
Thu Apr 26 01:52:10 +0000 2018,989321204854149121,Turns out a photo of Treasury Secretary Steve Mnuchin and his wife shows that they watched the solar eclipse during… https://t.co/3okprtorFL,1
Thu Apr 26 01:43:53 +0000 2018,989319119299399680,RT @MaddowBlog: We should hope that the controversy over Ronny Jackson's nomination doesn't damage the traditional bipartisanship of the Se…,1
Thu Apr 26 01:42:46 +0000 2018,989318839451217920,RT @MaddowBlog: There is so much effort to spin the possibility of Trump talking with Mueller that it's best to just wait and see when and…,1
Thu Apr 26 01:41:14 +0000 2018,989318451855593473,"The Republican candidate won Tuesday's special election in Arizona.

But here's why the results may be the stronges… https://t.co/BIyzLd08Su",1
Thu Apr 26 01:30:03 +0000 2018,989315638328995845,"""I think it is essential that Donald Trump"" be interviewed in the Mueller probe, and ""if he refuses to be subpoenae… https://t.co/kYzLow0aJI",1
Thu Apr 26 01:20:58 +0000 2018,989313350784946176,.@MSNBC host Joy Reid says homophobic blog posts were not hers. https://t.co/LrY3Tb6bC6  - @claireatki,1
Thu Apr 26 01:03:24 +0000 2018,989308931691417601,RT @MaddowBlog: 04/17/18 - The list of lawyers who don’t want Trump as a client keeps growing https://t.co/IpdFC9j8jd,1
Thu Apr 26 01:00:07 +0000 2018,989308107510730753,Cambridge Analytica whistleblower Christopher Wylie told Democrats on Capitol Hill that former Trump campaign strat… https://t.co/IZcj6ThJHP,1
Thu Apr 26 00:40:09 +0000 2018,989303080209584133,Major national Republican and Democratic party groups have spent at least $48.5 million on seven special elections… https://t.co/JhWZCGR6wd,1
Thu Apr 26 00:23:37 +0000 2018,989298919363530752,"""We got to keep calling these guys out... We've got to call them out on it every single time. This is what election… https://t.co/gvrHekKhHq",1
Thu Apr 26 00:15:00 +0000 2018,989296751252312065,"FRIDAY: Richard Engel takes a look at the expanding influence of the Kremlin.

How is Putin using his power to aggr… https://t.co/B7F1M5EnAP",1
Thu Apr 26 00:01:13 +0000 2018,989293284265689089,President Trump's new lawyer Rudy Giuliani met with Robert Mueller on Tuesday to reopen negotiations for an intervi… https://t.co/no8aN0IGv8,1
Wed Apr 25 23:59:17 +0000 2018,989292795671216134,RT @Morning_Joe: Tomorrow on @Morning_Joe: @MichaelAvenatti joins the table at 8amET on @MSNBC https://t.co/KMC7IbanGG,1
Wed Apr 25 23:40:05 +0000 2018,989287966039269377,"The White House said the DACA ruling ""violates federal law,"" and ""the judge's ruling is broad and wrong."" https://t.co/hlIbJBxcw7",1
Wed Apr 25 23:31:09 +0000 2018,989285716755697664,"RT @hardball: ""It means most corrupt administration ever."" @SenWarren on WH Budget Dir. Mick Mulvaney's 'pay to play' comments. https://t.c…",1
Wed Apr 25 23:21:31 +0000 2018,989283293655896065,RT @hardball: COMING UP: @SenWarren plays #Hardball! Tune in. https://t.co/6IEDwTCuLE,1
Wed Apr 25 23:18:39 +0000 2018,989282572109742087,President Trump’s lawyer Michael Cohen said in a court filing that he will assert his Fifth Amendment rights in the… https://t.co/aLiEdtxt09,1
Wed Apr 25 23:08:59 +0000 2018,989280136242585600,"""This is a form of corruption that has now become so thorough, so deep, so in the DNA of these people that they’re… https://t.co/1PT9TD8tDg",1
Wed Apr 25 22:55:58 +0000 2018,989276862756065280,"Kanye West, making the most of his return to Twitter after almost a year away, praised President Trump, calling him… https://t.co/5lCm3T4LeY",1
Wed Apr 25 22:47:12 +0000 2018,989274657579786245,"RT @TheBeatWithAri: ""I think it is essential that Donald Trump"" be interviewed in Mueller probe and ""if he refuses to be subpoenaed before…",1
Wed Apr 25 22:34:34 +0000 2018,989271477861134337,JUST IN: President Trump's lawyer Michael Cohen says in a court filing that he will assert Fifth Amendment rights i… https://t.co/7lanDQT3Kn,1
Wed Apr 25 22:23:34 +0000 2018,989268707628212226,RT @TheBeatWithAri: BREAKING: Filing reveals Trump lawyer Michael Cohen will assert 5th amendment rights in all proceedings of Stormy Danie…,1
Wed Apr 25 22:21:55 +0000 2018,989268291939119104,"RT @TheBeatWithAri: NEW: Mueller meets with Giuliani, says he wants to interview Trump - @washingtonpost reports

WaPo's @CarolLeonnig tell…",1
Wed Apr 25 22:20:09 +0000 2018,989267848324354048,"""We've got claims and accusations that were made. We're following up talking to some 23 different people, and there… https://t.co/pa9QTRJOEI",1
Wed Apr 25 22:04:51 +0000 2018,989263997785530368,"RT @TheBeatWithAri: BREAKING: Trump seeks to review seized Michael Cohen files, offers to make himself personally available for any review…",1
Wed Apr 25 22:00:26 +0000 2018,989262888228540416,"RT @MeetThePress: WATCH: On White House Dr. Ronny Jackson, @SenatorTester tells @chucktodd “there’s a possibility he could be confirmable”…",1
Wed Apr 25 21:56:26 +0000 2018,989261879569678342,"Does Trump and Macron's presidential ""bro-mance"" hold on foreign policy? 

@ChuckTodd explains why it doesn't. Watc… https://t.co/FifkFCWjX6",1
Wed Apr 25 21:49:13 +0000 2018,989260062102376449,"RT @MeetThePress: WATCH: @SenatorTester says on Ronny Jackson allegations, ""There’s more than comes forth everyday."" #MTPDaily https://t.co…",1
Wed Apr 25 21:43:40 +0000 2018,989258669220089856,RT @MeetThePress: .@SenatorTester on accusations against Dr. Ronny Jackson: “What we see is a pattern of problems...It would be Senatorial…,1
Wed Apr 25 21:42:28 +0000 2018,989258366601105408,"TUNE in to @MSNBC 

WATCH @chucktodd interview Sen. Jon Tester on allegations against Trump's VA nominee. #MTPDaily https://t.co/oonIyKshuQ",1
Wed Apr 25 21:26:01 +0000 2018,989254226399453185,The Democratic staff of the Senate Veterans’ Affairs Committee has released new documents detailing the extent of a… https://t.co/UpLIP46gIW,1
Wed Apr 25 21:02:59 +0000 2018,989248427270733833,"RT @DeadlineWH: MORE BREAKING: Trump's VA secretary nominee responds to newly emerging allegations, including claims he “wrecked a governme…",1
Wed Apr 25 20:50:02 +0000 2018,989245168602828800,RT @chucktodd: Trying to remember the last time we’ve seen so many troubling allegations be leaked about a potential Cabinet choice and hav…,1
Wed Apr 25 20:45:19 +0000 2018,989243984110325760,"RT @DeadlineWH: BREAKING: Newly released docs reveal extent of allegations against Trump's VA nominee, including opioid prescription abuse…",1
Wed Apr 25 20:36:21 +0000 2018,989241725406281728,"RT @NBCPolitics: JUST IN: In listing allegations, Sen. Tester says that ""conversations with 23 colleagues and former colleagues of Rear Adm…",1
Wed Apr 25 20:15:09 +0000 2018,989236390239096833,Sean Spicer's back -- and he's unveiling the new wax figure of Melania Trump.  https://t.co/KdR5sESvt4,1
Wed Apr 25 20:12:18 +0000 2018,989235674900586497,"RT @DeadlineWH: ""One former Senior US government official today described the botched White House handling of the Ronnie Jackson nomination…",1
Wed Apr 25 20:02:31 +0000 2018,989233212642783232,"RT @NBCNews: Sacramento authorities say they have arrested 72-year-old ex-police officer Joseph James DeAngelo as a suspect in the ""Golden…",1
Wed Apr 25 20:00:09 +0000 2018,989232614669258752,Former Assistant US Attorney for the Southern District of New York Jennifer Rodgers to discuss why Mulvaney's comme… https://t.co/1Vauiq7W08,1
Wed Apr 25 19:45:06 +0000 2018,989228827430842368,"In an address to Congress, France's President Macron discussed the Paris accords, Iran and the dangers of isolation… https://t.co/9UfKuSHxWs",1
Wed Apr 25 19:30:12 +0000 2018,989225077546811393,"President Trump doesn't seem to agree with the adage, there's no such thing as a stupid question.""  https://t.co/M5u8Rw3t3P",1
Wed Apr 25 18:49:27 +0000 2018,989214825623498754,"RT @NBCNews: JUST IN: Former President George H.W. Bush has been moved from the intensive care unit to a regular patient room, spokesperson…",1
Wed Apr 25 18:30:48 +0000 2018,989210131429773313,"RT @NBCPolitics: Sarah Sanders: ""Dr. Jackson's record as a White House physician has been impeccable. In fact, because Dr. Jackson has work…",1
Wed Apr 25 18:30:27 +0000 2018,989210043013844997,RT @NBCNews: LIVE: White House press briefing https://t.co/JVt5NjxfEt,1
Wed Apr 25 18:30:16 +0000 2018,989209997631508480,The fate of Bill Cosby is now once again in the hands of a jury after the dramatic retrial where the comedian was a… https://t.co/aNhMfzLwKv,1
Wed Apr 25 18:15:06 +0000 2018,989206181464899584,The fate of Bill Cosby is now once again in the hands of a jury after the dramatic retrial where the comedian was a… https://t.co/82LaOeqepN,1
Wed Apr 25 18:00:17 +0000 2018,989202452581945346,"After spending five months in prison for probation violations, the Pennsylvania Supreme Court ordered an immediate… https://t.co/NLYlqH2uH0",1
Wed Apr 25 17:30:01 +0000 2018,989194836002639872,"Harry Reid opens up about the possibility of Trump's impeachment: ""I think the less we talk about impeachment the b… https://t.co/2WDSqbTGwz",1
Wed Apr 25 17:00:19 +0000 2018,989187358087155712,Trump's travel ban appears likely to survive the latest Supreme Court review https://t.co/7wSqTpUL6s,1
Wed Apr 25 16:49:58 +0000 2018,989184757387931648,"Senator Jeff Flake praises Macron's speech to Congress, notes difference in French president's approach to foreign… https://t.co/cH49uvjD46",1
Wed Apr 25 16:30:15 +0000 2018,989179795366965250,Maddowblog: The EPA chief is proving to be quite effective in going after science. https://t.co/rdVZY9aa3g,1
Wed Apr 25 16:26:42 +0000 2018,989178899958566912,RT @marianaatencio: The story of my dad's illness in a country where many health facilities have no running water. The personal and painful…,1
Wed Apr 25 16:00:15 +0000 2018,989172243598118914,White House stands by embattled VA nominee Ronny Jackson https://t.co/ixAueZS2D9,1
Wed Apr 25 15:45:19 +0000 2018,989168484742582272,"President Macron makes an appeal to Congress and President Trump to remain in the Iran Deal. 

""We should not aband… https://t.co/N8EZiXW4No",1
Wed Apr 25 15:34:31 +0000 2018,989165765856301056,"""Let us work together in order to make our planet great again,"" French President Macron says in speech to Congress. https://t.co/Wr2p4H55Yp",1
Wed Apr 25 15:33:07 +0000 2018,989165414063144963,"RT @NBCNews: French President Macron to Congress: ""We are killing our planet. Let us face it: There is no Planet B.” https://t.co/jxDSoGobmz",1
Wed Apr 25 15:32:53 +0000 2018,989165356605476864,"France's President Macron calls for united fight against ""fake news,"" jokes President Trump has ""fair copyright"" of… https://t.co/xpDCO35bN2",1
Wed Apr 25 15:30:16 +0000 2018,989164697428611072,Maddow: It seems Robert Mueller took steps to make sure the Russia investigation would continue ... even if he's fi… https://t.co/ujPAZHRHoV,1
Wed Apr 25 15:19:00 +0000 2018,989161862595010560,"“Closing the door to the world will not stop the evolution of the world. It will not douse, but inflame the fears o… https://t.co/oz8xL68KQS",1
Wed Apr 25 15:18:57 +0000 2018,989161851530498049,RT @GarrettHaake: Big cheers for science.,1
Wed Apr 25 15:17:51 +0000 2018,989161574857433088,"RT @NBCPolitics: Macron to Congress: ""Personally, if you ask me, I do not share the fascination for new, strong powers, the abandonment of…",1
Wed Apr 25 15:08:33 +0000 2018,989159233202671621,"RT @NBCPolitics: WATCH: After numerous physical embraces between himself and President Trump, President Macron tells a story of Ben Frankli…",1
Wed Apr 25 15:05:33 +0000 2018,989158476646633474,"WATCH: French President Macron recognizes a WWII veteran who took part in the D-Day landing. 

""Sir, on behalf of F… https://t.co/1OipEhbvdF",1
Wed Apr 25 14:55:43 +0000 2018,989156004381249536,RT @NBCNews: LIVE: French President Macron addresses a joint session of Congress. https://t.co/B133lSBcIP,1
Wed Apr 25 14:50:15 +0000 2018,989154626216841216,RT @NBCNews: LIVE: French President Macron addresses a joint session of Congress. https://t.co/6AtabHhhDi,1
Wed Apr 25 14:30:10 +0000 2018,989149571921084417,"Lawrence O’Donnell argues there is no more urgent question in Donald Trump's life than, ""What can I do to stop Mich… https://t.co/Ja0gCfVK7K",1
Wed Apr 25 14:00:11 +0000 2018,989142027815346176,"Trump's travel ban heads back to the Supreme Court today. 

Here's why the case could stand a better chance this ti… https://t.co/Bl5y9rebDy",1
Wed Apr 25 13:30:16 +0000 2018,989134499970732032,Maddow: The Trump administration appears to have a vetting problem ... and it could cost Ronny Jackson a job.  https://t.co/PXnliej5Um,1
Wed Apr 25 13:15:10 +0000 2018,989130699100819457,President Trump and France's President Macron seemed to have a very 'hands on' approach to foreign policy. https://t.co/OE97KtcMio,1
Wed Apr 25 13:00:13 +0000 2018,989126937699409921,Republicans won in the Arizona special election by a 5 point margin -- but the victory could still signal trouble f… https://t.co/OztEmBHprm,1
Wed Apr 25 12:00:14 +0000 2018,989111843674345472,"President Trump says he didn't stay overnight in Moscow during a 2013 trip, but the co-host of the 2013 Miss Univer… https://t.co/YjZ6NjhGtm",1
Wed Apr 25 11:00:13 +0000 2018,989096737750110210,"Learn more about the impact of President Trump’s decisions on Iran, Syria, and other international issues and what… https://t.co/z2gQ4qyeWl",1
Wed Apr 25 10:00:13 +0000 2018,989081639413272576,Special counsel Robert Mueller has worked with other departments and agencies in the course of the Trump Russia inv… https://t.co/1kjIoJEPnj,1
Wed Apr 25 09:00:16 +0000 2018,989066552019509249,President Trump refused to say what he would do when he has to re-certify the Iran nuclear deal. https://t.co/nQSLKSRYYi,1
Wed Apr 25 08:00:09 +0000 2018,989051424414883840,New court filings from Robert Mueller's office confirm that investigators were searching for documents related to t… https://t.co/0xFpEj8WrY,1
Wed Apr 25 07:00:16 +0000 2018,989036351571021826,"Prosecutors explain, through a footnote in a legal filing in the Paul Manafort case, that the search warrant execut… https://t.co/n3BU08sQQW",1
Wed Apr 25 06:33:04 +0000 2018,989029509369417729,"As Trump and Macron navigated a host of foreign policy issues during the French leader's state visit, you couldn't… https://t.co/TYH8nrqiOY",1
Wed Apr 25 06:00:04 +0000 2018,989021203431067648,"""I'm no Bob Mueller, but I think I can hold my own."" 

Michael Avenatti is ""confident"" that movements in the Stormy… https://t.co/Y1OrcLuzsA",1
Wed Apr 25 05:30:04 +0000 2018,989013654816329728,Facing allegations of being drunk on the job and giving out meds to the point White House staffers reportedly calle… https://t.co/ovDVMtb47C,1
Wed Apr 25 05:26:02 +0000 2018,989012637756280832,"@NBCNews Republican Debbie Lesko wins Arizona special election with a five point margin, NBC News projects… https://t.co/JeMKzbB8gw",1
Wed Apr 25 05:17:00 +0000 2018,989010363738865664,"@NBCNews Republican Debbie Lesko wins Arizona special election, NBC News projects https://t.co/BUc4R4y0YQ",1
Wed Apr 25 05:14:00 +0000 2018,989009609066086400,.@NBCNews projects Republican Debbie Lesko as apparent winner of the Arizona House 8 special election #AZ08 https://t.co/IPnwGiBahT,1
Wed Apr 25 05:00:09 +0000 2018,989006124077772800,"President Trump said that if Iran resumes its nuclear program ""they will have bigger problems than they ever had be… https://t.co/GvzbFp65kp",1
