date,id,text, bot_non_bot
Thu Apr 26 02:00:01 +0000 2018,989323181046620160,Former Acting Attorney General Sally Yates says the Trump administration has made some important changes to the tra… https://t.co/L2d0u5vfqP,1
Thu Apr 26 01:00:00 +0000 2018,989308075747098630,President Trump's campaign and post-election statements have been a focus for courts trying to determine his travel… https://t.co/dulEzhVqXP,1
Thu Apr 26 00:20:00 +0000 2018,989298010034229248,Attorney General Jeff Sessions on Wednesday defended President Donald Trump’s right to pardon former Sheriff Joe Ar… https://t.co/58rbBUAnPc,1
Thu Apr 26 00:10:00 +0000 2018,989295493573464065,"The Senate Judiciary Committee was expected to vote Thursday on the bill, which would give any special counsel a 10… https://t.co/I9eYaYImSv",1
Thu Apr 26 00:00:00 +0000 2018,989292976605089792,"Maine police search for man who killed deputy, robbed store. https://t.co/NALV5cmL1Z",1
Wed Apr 25 23:57:51 +0000 2018,989292436861091845,"During an address to Congress on Wednesday, French President Emmanuel Macron clearly defined where he and President… https://t.co/H36JAnnqJz",1
Wed Apr 25 23:52:41 +0000 2018,989291135238590465,"The Supreme Court heard arguments Wednesday from lawyers on both sides of Trump v. Hawaii, the case that will deter… https://t.co/MNMVWaso71",1
Wed Apr 25 23:52:21 +0000 2018,989291052854005760,"Facebook is front and center in the effort to address the issue of ""junk news."" @milesobrien went inside the tech g… https://t.co/xG3ZOmyUb8",1
Wed Apr 25 23:50:46 +0000 2018,989290654474776576,More than half of the Rohingya refugees trying to return to Myanmar from Bangladesh are female. Among that populati… https://t.co/921oYOWUFP,1
Wed Apr 25 23:41:12 +0000 2018,989288243999920128,"The Trump administration has ""injected this chaos into the whole upper management of the VA,"" @SenSherrodBrown tell… https://t.co/lWUNVQOQwM",1
Wed Apr 25 23:40:00 +0000 2018,989287943943540736,Millions of families living in federally subsidized public housing would have to pay more for rent under a Trump ad… https://t.co/GSMZwqiwpd,1
Wed Apr 25 23:34:57 +0000 2018,989286672213815297,Michael Cohen's lawyer has told a court in California that Cohen will assert his 5th Amendment right not to incrimi… https://t.co/KU19noXfzU,1
Wed Apr 25 23:29:07 +0000 2018,989285204274495488,"""This has been a really hard time for the folks at DOJ,"" @SallyQYates tells @JudyWoodruff. ""That's been one of thin… https://t.co/JK6xY1n0J2",1
Wed Apr 25 23:20:00 +0000 2018,989282910464368640,A Dallas police officer died Wednesday after a shooting that wounded another officer and an employee at a home impr… https://t.co/B6Tkll9e9d,1
Wed Apr 25 23:19:12 +0000 2018,989282707292094464,"""That [President Trump's] decisions here are situational based on whether he feels like he's in the sights of the J… https://t.co/fm3wcYUPnX",1
Wed Apr 25 23:00:01 +0000 2018,989277880533184513,Why this American cereal heiress amassed a huge Russian art collection (by @alisonthoet) https://t.co/HOdbUpZ1Eo,1
Wed Apr 25 22:50:52 +0000 2018,989275577025691648,"RT @JudyWoodruff: how does @Facebook deal with false news? @MilesOBrien begins the first of four special reports on ""junk news"" now so prev…",1
Wed Apr 25 22:49:52 +0000 2018,989275326499913733,"RT @JudyWoodruff: .@SallyQYates says travel ban #3 is improvement from the first, but still seems ""infected"" with anti-Muslim bias https://…",1
Wed Apr 25 22:48:46 +0000 2018,989275050346938368,"RT @mattloff: ""I'm concerned that they’re vetting at all,"" @SenSherrodBrown says on @NewsHour about the White House process. ""The president…",1
