date,id,text, bot_non_bot
Thu Apr 26 02:44:17 +0000 2018,989334320253952005,"World's longest penguin dive, of more than half an hour, is recorded https://t.co/dCD4tNllwG",1
Thu Apr 26 01:59:40 +0000 2018,989323089929531392,Toronto attack: rightwingers point to Islamist terror before police cite motive https://t.co/AOdKticjfM,1
Thu Apr 26 00:50:04 +0000 2018,989305576827097089,North Korea nuclear test site has collapsed and may be out of action – China study https://t.co/ejCPlIf0fC,1
Thu Apr 26 00:50:04 +0000 2018,989305575484919810,Turkey: anti-Erdoğan journalists defiant after convictions on terror charges https://t.co/wexfdaF4M9,1
Wed Apr 25 23:41:19 +0000 2018,989288275952259072,'Archaic and harmful': report condemns strict handling of student drug takers https://t.co/pDHaMGAzr8,1
Wed Apr 25 23:41:19 +0000 2018,989288275918639104,"Divorce blame game leads to futile court battles, new study finds https://t.co/MM5jOIApWS",1
Wed Apr 25 23:41:19 +0000 2018,989288275872542721,Bank economist calls for counselling for primary school pupils https://t.co/YwYeNWJhe7,1
Wed Apr 25 23:41:19 +0000 2018,989288275868372992,UK car production falls on Brexit fears and diesel sales slump https://t.co/fCjiqQINAG,1
Wed Apr 25 23:16:46 +0000 2018,989282096404410368,Alternative medicine: photos show British healthcare before NHS https://t.co/Um5tzrdbv4,1
Wed Apr 25 23:12:02 +0000 2018,989280904181841921,NHS England hospitals told to spot dying patients sooner https://t.co/sDyL8WCidj,1
Wed Apr 25 23:12:00 +0000 2018,989280898850934784,UK supermarkets launch voluntary pledge to cut plastic packaging https://t.co/g0JAN7DP8c,1
Wed Apr 25 23:11:20 +0000 2018,989280729015181314,"Student complaints about UK universities growing, says watchdog https://t.co/WBrrkXMMd9",1
Wed Apr 25 23:05:51 +0000 2018,989279347596029952,Facebook posts record revenues for first quarter despite privacy scandal https://t.co/CN8SoibeZx,1
Wed Apr 25 22:43:43 +0000 2018,989273777681952770,Some antidepressants linked to dementia risk https://t.co/u7fOiDRn32,1
Wed Apr 25 22:41:35 +0000 2018,989273244309082112,Facebook posts record revenues for first quarter despite privacy scandal https://t.co/onTUdj6c9y,1
Wed Apr 25 22:34:58 +0000 2018,989271576242720768,"Guardian front page, Thursday 26 April 2018: Rudd ‘protecting’ the PM over Windrush https://t.co/FFTodJXUvt",1
Wed Apr 25 22:28:01 +0000 2018,989269830070087680,From Seattle to Luxembourg: how tax schemes shaped Amazon https://t.co/r8td4KzmOn,1
Wed Apr 25 22:27:03 +0000 2018,989269584174895105,Slipping discs: music streaming revenues of $6.6bn surpass CD sales https://t.co/IsEGwRuiM2,1
Wed Apr 25 22:25:22 +0000 2018,989269160764067840,Justine Damond: Minneapolis police officer to plead not guilty to murder https://t.co/3RqqOiIywx,1
Wed Apr 25 22:24:21 +0000 2018,989268906597593088,How palm oil ban has made the EU a dirty word in Malaysia https://t.co/jZDMR3IflV,1
Wed Apr 25 22:09:30 +0000 2018,989265169938337794,British-Iranian academic Abbas Edalat detained in Iran https://t.co/k7h23HA0mB,1
Wed Apr 25 22:05:14 +0000 2018,989264093180723200,"'One day the US will come back to the Paris agreement,' says Macron – video https://t.co/wYDsGctGo3",1
Wed Apr 25 22:05:06 +0000 2018,989264059206860806,British-Iranian academic Abbas Edalat detained in Iran https://t.co/q162EWVSuH,1
Wed Apr 25 21:54:06 +0000 2018,989261294653014017,"Ronny Jackson crashed car while drunk and mishandled drugs, document claims https://t.co/QBRwJ0W6m3",1
Wed Apr 25 21:52:31 +0000 2018,989260896362008576,Northern Ireland papers: ‘No simple solution to hard border’ https://t.co/1AcZMqBe2O,1
Wed Apr 25 21:41:04 +0000 2018,989258014136918018,AIQ firm could face legal action over personal data inquiry https://t.co/aWNhjXBoFO,1
Wed Apr 25 21:39:44 +0000 2018,989257676088586240,"Mo Salah can challenge Ronaldo and Messi for Ballon d’Or, says Lovren https://t.co/30vEtMpHSz",1
Wed Apr 25 21:38:07 +0000 2018,989257269257924608,Scotland recognises social security as a human right https://t.co/E2yCV0o4Ok,1
Wed Apr 25 21:31:39 +0000 2018,989255642035752960,"May puts Tories before national interest on Brexit, says Starmer https://t.co/Jrle9P4E0t",1
Wed Apr 25 21:26:05 +0000 2018,989254241989603328,Scotland recognises social security as a human right https://t.co/dAsKr8VWWp,1
